Sample_ID,Otu00000,Otu00001,Otu00002,Otu00003,Otu00004,Otu00005,Otu00006,Otu00007,Otu00008,Otu00009
BC001,15.0,0.0,55.0,2.0,0.0,0.0,15.0,5.0,129.0,37.0
BC002,2.0,0.0,12.0,13.0,0.0,0.0,11.0,2.0,2.0,0.0
BC003,7.0,0.0,0.0,0.0,18.0,0.0,16.0,11.0,19.0,2.0
BC004,8.0,2.0,16.0,2.0,25.0,15.0,9.0,10.0,14.0,18.0
BC005,28.0,0.0,22.0,19.0,11.0,19.0,2.0,8.0,2.0,27.0
BC015,8.0,32.0,16.0,15.0,43.0,15.0,2.0,0.0,12.0,18.0
BC016,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,9.0
BC018,33.0,23.0,961.0,2.0,8.0,65.0,8.0,17.0,39.0,100.0
BC020,18.0,23.0,8.0,9.0,275.0,7.0,15.0,16.0,8.0,8.0
BC048,11.0,15.0,11.0,2.0,9.0,2.0,11.0,0.0,12.0,13.0
BC049,2.0,160.0,18.0,9.0,2.0,4.0,2.0,23.0,0.0,247.0
BC051,42.0,6.0,11.0,294.0,2.0,1.0,2.0,595.0,29.0,39.0
BC105,2.0,0.0,4.0,9.0,15.0,2.0,0.0,2.0,18.0,22.0
BC108,2.0,21.0,0.0,0.0,13.0,14.0,10.0,2.0,11.0,2.0
BC262,0.0,5.0,5.0,0.0,43.0,0.0,21.0,18.0,0.0,11.0
BCL01,21.0,8.0,8.0,9.0,122.0,7.0,19.0,17.0,9.0,9.0
BCL03,21.0,23.0,0.0,7.0,111.0,7.0,17.0,15.0,0.0,7.0
HNF132,2.0,2.0,16.0,12.0,2.0,18.0,41.0,79.0,4.0,11.0
HNF133,18.0,2.0,22.0,20.0,31.0,2.0,8.0,8.0,18.0,30.0
HNF134,0.0,9.0,1.0,53.0,17.0,12.0,150.0,55.0,26.0,20.0
HNF144,13.0,42.0,40.0,25.0,14.0,27.0,43.0,21.0,23.0,67.0
HNF168,0.0,62.0,60.0,20.0,24.0,19.0,40.0,27.0,6.0,130.0
HNF185,18.0,34.0,0.0,0.0,272.0,7.0,2.0,0.0,8.0,6.0
HNF187,2.0,26.0,79.0,0.0,0.0,0.0,95.0,44.0,0.0,0.0
HNF216,8.0,0.0,2.0,2.0,12.0,2.0,984.0,9.0,2.0,2.0
HNF217,0.0,0.0,9.0,9.0,0.0,2.0,11.0,11.0,0.0,9.0
HNF224,2.0,0.0,2.0,2.0,21.0,2.0,2.0,2.0,2.0,2.0
HNF225,12.0,2.0,2.0,68.0,8.0,72.0,64.0,5342.0,2.0,2.0
HNF229,118.0,3.0,4.0,45.0,0.0,29.0,169.0,58.0,19.0,87.0
HNF242,0.0,32.0,0.0,8.0,0.0,2.0,19.0,18.0,2.0,18.0
HNF250,0.0,1.0,2.0,2.0,0.0,6.0,2.0,17.0,0.0,6.0
HNF267,0.0,2.0,4.0,22.0,17.0,14.0,135.0,2.0,13.0,9.0
HNF269,38.0,8.0,143.0,3.0,16.0,192.0,2.0,472.0,31.0,24.0
YSF004,18.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0
YSF117,13.0,238.0,2.0,20.0,55.0,2.0,3.0,0.0,18.0,30.0
YSF295,93.0,8.0,3.0,30.0,18.0,10.0,2.0,0.0,29.0,23.0
YSF296,5.0,0.0,0.0,24.0,18.0,2.0,19.0,2.0,2.0,0.0
YSF298,693.0,2.0,187.0,48.0,2.0,51.0,9.0,22.0,0.0,172.0
YSF300,10.0,33.0,56.0,30.0,4.0,33.0,15.0,19.0,24.0,2.0
YSF44,4.0,0.0,2.0,0.0,8.0,47.0,26.0,20.0,33.0,2.0
YSF45,7.0,31.0,61.0,2.0,7.0,33.0,14.0,14.0,27.0,197.0
YSF47,0.0,2.0,2.0,12.0,14.0,12.0,0.0,2.0,10.0,12.0
YSF65,14.0,8.0,2.0,2.0,2.0,11.0,14.0,2.0,11.0,10.0
YSF66,132.0,0.0,144.0,115.0,9.0,125.0,6.0,8.0,52.0,55.0
YSF69,27.0,7.0,8.0,2.0,58.0,8.0,0.0,19.0,2.0,25.0
YSF70,2.0,2.0,10.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0
YSF71,49.0,0.0,2.0,20.0,15.0,23.0,10.0,3.0,0.0,0.0
YSF74,12.0,6.0,10.0,9.0,23.0,11.0,12.0,2.0,9.0,8.0
YSF46,7.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0
